Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2012-13,DeJuan Blair,PF,blairde01,23,61,851,14.6,0.543,0.004,0.258,9.5,21.1,15.6,8.3,2.2,0.9,14,19,0.7,1.5,2.2,0.126,-2,1.3,-0.8,0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/blairde01.html,61,851,0.524,5.9,0.996,0.458,0.336,0.122,0.081,0.004,0.526,0.653,0.429,0.394,0.409,0,0.789,0.03,8,0,0,0,0,0
2012-13,DeMar DeRozan,SG,derozde01,23,82,3013,14.7,0.523,0.097,0.347,1.9,10.9,6.3,12,1.3,0.6,9.6,24.2,3.1,1.6,4.7,0.075,-0.5,-1.4,-1.9,0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/derozde01.html,82,3013,0.445,13,0.903,0.202,0.149,0.187,0.365,0.097,0.463,0.659,0.404,0.391,0.414,0.283,0.527,0.045,54,0.882,0.292,0.343,0,0
2012-13,DeMarcus Cousins,C,couside01,22,75,2289,20.2,0.524,0.021,0.408,10.9,27,18.7,15.3,2.4,1.9,15.5,28.1,2,2.3,4.4,0.092,0,1,1,1.7,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/couside01.html,75,2289,0.465,8.4,0.979,0.382,0.281,0.066,0.25,0.021,0.471,0.639,0.402,0.324,0.332,0.182,0.485,0.092,86,1,0.136,0,2,0
2012-13,DeMarre Carroll,SF,carrode01,26,66,1111,15.5,0.535,0.216,0.302,9.1,10.8,9.9,8.7,2.8,1.7,8.5,16.4,2,1.1,3.1,0.134,1.4,0.7,2,1.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/carrode01.html,66,1111,0.46,13.9,0.784,0.265,0.148,0.062,0.309,0.216,0.508,0.791,0.25,0.4,0.41,0.286,0.674,0.04,13,0.95,0.3,0.429,3,0
2012-13,DeQuan Jones,SF,jonesde01,22,63,803,8.4,0.485,0.161,0.234,2.4,12.4,7.4,3,1.2,2.1,11.1,15.3,-0.3,0.4,0.1,0.007,-5.1,-1.1,-6.1,-0.8,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jonesde01.html,63,803,0.436,10.4,0.839,0.39,0.183,0.069,0.197,0.161,0.47,0.635,0.225,0.2,0.465,0.257,0.709,0.119,22,1,0.286,0.4,0,0
2012-13,DeSagana Diop,C,diopde01,31,22,226,6.6,0.292,0.037,0.037,4.9,21.4,12.9,8.5,1.2,5.7,22.6,7.1,-0.3,0.2,-0.1,-0.017,-7.1,3,-4.1,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/diopde01.html,22,226,0.296,16.9,0.963,0,0.148,0.296,0.519,0.037,0.308,0,0.5,0.25,0.286,0,1,0,0,0,0,0,1,0
2012-13,DeShawn Stevenson,SG,stevede01,31,56,1158,8.1,0.522,0.798,0.088,1.8,10.1,6,6.5,1.3,0.4,7.8,11.8,0.5,0.9,1.5,0.061,-0.9,-0.6,-1.5,0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stevede01.html,56,1158,0.374,22.4,0.202,0.057,0.019,0.023,0.103,0.798,0.415,0.6,0.4,0.333,0.333,0.364,0.545,0.008,2,0.987,0.397,0.434,1,0
2012-13,Derek Fisher,SG-PG,fishede01,38,33,575,7.7,0.492,0.497,0.236,0.4,6.6,3.6,11.7,1.7,0.4,14.4,16.4,0,0.4,0.4,0.034,-2.1,-2,-4.1,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/fishede01.html,24,346,0.333,20.5,0.406,0.042,0.052,0.073,0.24,0.594,0.308,0.5,0,0.429,0.304,0.351,0.583,0,0,0.85,0.474,0.407,0,0
2012-13,Deron Williams,PG,willide01,28,78,2842,20.3,0.574,0.398,0.328,1.2,8.5,4.8,37.5,1.4,0.8,14.5,24.4,9.1,1.8,10.9,0.184,5.5,-2,3.5,3.9,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willide01.html,78,2842,0.44,16.1,0.602,0.17,0.157,0.09,0.186,0.398,0.482,0.665,0.42,0.416,0.397,0.378,0.316,0.004,2,0.734,0.163,0.479,3,0
2012-13,Derrick Favors,PF,favorde01,21,77,1787,17.5,0.533,0.009,0.458,11.9,24,17.9,6.8,2,5.7,15.9,20.6,1.5,2.9,4.4,0.117,-1.7,2.7,1.1,1.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/favorde01.html,77,1787,0.482,6,0.991,0.507,0.262,0.111,0.109,0.009,0.487,0.67,0.282,0.365,0.258,0,0.606,0.157,80,0,0.2,0,2,0
2012-13,Derrick Williams,PF,willide02,21,78,1916,14.5,0.515,0.249,0.346,5.6,20.6,12.8,4.2,1.2,1.5,10,23.5,1,2.1,3,0.076,-2.1,-1.5,-3.7,-0.8,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willide02.html,78,1916,0.43,12.3,0.751,0.378,0.087,0.074,0.212,0.249,0.463,0.603,0.191,0.397,0.347,0.332,0.736,0.102,68,0.969,0.235,0.348,1,0
2012-13,Devin Ebanks,SF,ebankde01,23,19,197,6.3,0.411,0.301,0.192,5.7,16.9,11.5,7.8,0.8,0.4,12.2,20.4,-0.2,0.1,-0.1,-0.025,-5.3,-2.2,-7.6,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/ebankde01.html,19,197,0.329,15.2,0.699,0.26,0.096,0.068,0.274,0.301,0.353,0.526,0,0.2,0.35,0.273,0.5,0.027,2,0.667,0.364,0.25,2,0
2012-13,Devin Harris,SG,harride01,29,58,1421,14.6,0.565,0.519,0.348,0.5,8.7,4.7,21.7,2.3,0.7,14.7,19.5,1.8,1.5,3.3,0.111,0.9,-0.9,-0.1,0.7,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harride01.html,58,1421,0.438,16.3,0.481,0.273,0.081,0.032,0.095,0.519,0.549,0.678,0.472,0.357,0.31,0.335,0.299,0,0,0.792,0.135,0.419,1,0
2012-13,Dexter Pittman,C,pittmde01,24,7.333333333,21.33333333,3.633333333,0.354,0,0.257666667,29.36666667,19.86666667,24.46666667,0,0,0,20.06666667,23.16666667,-0.066666667,0,-0.066666667,-0.077333333,-8.9,-8.666666667,-17.6,-0.066666667,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pittmde01.html,7,20,0.167,2,1,0.667,0.333,0,0,0,0.167,0.25,0,0,0,0,0,0,0,0,0,0,0,0
2012-13,Diante Garrett,PG,garredi02,24,19,149,9,0.375,0.306,0.204,3.7,7.8,5.7,31.3,3.4,0,23.1,20.7,-0.3,0.1,-0.2,-0.073,-4.7,-1.5,-6.2,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/garredi02.html,19,149,0.327,13.2,0.694,0.265,0.245,0.102,0.082,0.306,0.382,0.692,0.25,0.2,0,0.2,0.615,0,0,0.667,0.267,0,1,0
2012-13,Dion Waiters,SG,waitedi01,21,61,1756,13.7,0.492,0.249,0.261,1.4,8.8,4.9,18.4,1.7,0.7,11.8,26.1,0.3,0.6,0.9,0.026,-0.5,-2.7,-3.2,-0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/waitedi01.html,61,1756,0.412,12.9,0.751,0.337,0.108,0.063,0.243,0.249,0.446,0.538,0.307,0.333,0.409,0.31,0.311,0.04,29,0.762,0.177,0.25,0,0
2012-13,Dirk Nowitzki,PF,nowitdi01,34,53,1661,19.8,0.564,0.216,0.265,2.5,21.5,12.2,13.5,1.2,1.7,7.9,24.2,3.3,1.8,5,0.145,1.7,0,1.7,1.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nowitdi01.html,53,1661,0.471,16.3,0.784,0.077,0.069,0.312,0.327,0.216,0.487,0.625,0.38,0.463,0.5,0.414,0.586,0.007,5,0.985,0.032,0.4,0,0
2012-13,Dominic McGuire,SF,mcguido01,27,13,193.5,4.575,0.3295,0,0.28225,6.625,16.15,11.3,8.625,1.5,1.7,13,10.1,-0.05,0.175,0.125,-0.029,-5.95,1.45,-4.475,0.025,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcguido01.html,2,12,0,5.3,1,0.667,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-13,Dominique Jones,PG,jonesdo02,24,29,338,12.4,0.438,0.083,0.486,6,8.7,7.4,36.2,2.1,0.5,22.3,23,-0.2,0.2,0,0.001,-2.9,-1.4,-4.2,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jonesdo02.html,29,338,0.367,6.6,0.917,0.486,0.339,0.055,0.037,0.083,0.39,0.491,0.243,0.667,0,0.111,0.231,0.046,5,0,0.444,0,1,0
2012-13,Donald Sloan,SG-PG,sloando01,25,23,263,9.6,0.455,0.244,0.321,1.3,11.5,6.2,22,1,0,13.6,17.5,0,0,0.1,0.017,-3.1,-3.2,-6.3,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sloando01.html,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-13,Donatas Motiejunas,PF,motiedo01,22,44,538,12.2,0.531,0.39,0.239,7.7,11.9,9.8,9.5,0.6,1.4,13.6,22.1,0.4,0.3,0.7,0.061,-0.7,-2.2,-2.9,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/motiedo01.html,44,538,0.455,12.6,0.61,0.258,0.286,0.033,0.033,0.39,0.562,0.727,0.492,0.143,0.286,0.289,0.781,0.028,6,1,0.566,0.319,0,0
2012-13,Dorell Wright,SF,wrighdo01,27,79,1783,16,0.551,0.603,0.235,2.6,17,9.6,13.1,1.8,1.5,8.8,18.7,2.8,2.1,4.9,0.132,1.5,-0.2,1.3,1.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wrighdo01.html,79,1783,0.396,19,0.397,0.155,0.065,0.043,0.134,0.603,0.429,0.591,0.333,0.231,0.35,0.374,0.618,0.03,18,0.948,0.302,0.413,3,0
2012-13,Doron Lamb,SG,lambdo01,21,31.33333333,384.6666667,4.766666667,0.438333333,0.234666667,0.215333333,1.5,7.366666667,4.4,8.2,1.2,0,12.63333333,15.73333333,-0.4,0.133333333,-0.233333333,-0.032666667,-5.233333333,-2.3,-7.533333333,-0.533333333,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lambdo01.html,24,297,0.397,15,0.691,0.191,0.221,0.118,0.162,0.309,0.362,0.385,0.467,0.25,0.273,0.476,0.706,0,0,0.9,0.333,0.714,1,0
2012-13,Draymond Green,SF,greendr01,22,79,1061,7.1,0.404,0.261,0.214,6.2,20.3,13.5,7,2,1.8,15.4,14,-0.9,1.6,0.6,0.028,-4.8,1.7,-3.1,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greendr01.html,79,1061,0.327,14.1,0.739,0.272,0.132,0.093,0.241,0.261,0.368,0.586,0.176,0.208,0.29,0.209,0.586,0.023,6,1,0.313,0.333,3,0
2012-13,Drew Gooden,C,goodedr01,31,16,151,7.7,0.382,0.082,0.262,8.9,13.3,11,6.1,1.7,2.9,11.7,22.2,-0.3,0.2,-0.1,-0.034,-6.5,-0.7,-7.2,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goodedr01.html,16,151,0.328,9.8,0.918,0.41,0.131,0.131,0.246,0.082,0.339,0.48,0.125,0.25,0.267,0.2,0.684,0.082,5,1,0.4,0.5,0,0
2012-13,Dwight Howard,C,howardw01,27,76,2722,19.4,0.573,0.007,0.887,10.4,27.4,19.1,6.6,1.6,4.9,16.6,22.2,2.8,4.8,7.6,0.134,-1.5,2.8,1.3,2.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/howardw01.html,76,2722,0.578,3.7,0.993,0.594,0.357,0.025,0.017,0.007,0.581,0.7,0.424,0.25,0.214,0.167,0.697,0.244,187,1,0.333,0.5,1,0
2012-13,Dwyane Wade,SG,wadedw01,31,69,2391,24,0.571,0.06,0.389,4.7,12.6,8.9,26.6,2.8,1.9,13.2,29.5,6.1,3.5,9.6,0.192,2.8,1.1,3.9,3.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wadedw01.html,69,2391,0.521,9.5,0.94,0.373,0.198,0.134,0.235,0.06,0.537,0.728,0.431,0.37,0.42,0.258,0.438,0.093,95,0.353,0.136,0.444,2,0
2012-13,E'Twaun Moore,SG,mooreet01,23,75,1682,10.7,0.471,0.329,0.099,3.2,8,5.6,19.1,1.6,1.1,14.4,19.7,-0.4,0.7,0.2,0.006,-1.8,-1.4,-3.2,-0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mooreet01.html,75,1682,0.396,16,0.671,0.137,0.164,0.115,0.254,0.329,0.424,0.573,0.541,0.304,0.322,0.34,0.376,0.008,5,0.91,0.279,0.382,0,0
2012-13,Earl Barron,C,barroea01,31,8,106,10.4,0.362666667,0,0.138333333,16.06666667,30.7,23.2,5.866666667,1.233333333,2.833333333,14.5,19.1,-0.2,0.233333333,0,0.013666667,-7,0.566666667,-6.433333333,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/barroea01.html,1,37,0.357,8.9,1,0.357,0.214,0.143,0.286,0,0.357,0.2,0,0.5,0.75,0,0.8,0,0,0,0,0,0,0
2012-13,Earl Clark,PF,clarkea01,25,59,1363,12.4,0.51,0.269,0.197,6.8,19.1,13.1,7.4,1.3,2.3,12.9,15.7,0.7,1.5,2.3,0.08,-2,1,-0.9,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/clarkea01.html,59,1363,0.44,13.9,0.731,0.301,0.085,0.062,0.282,0.269,0.479,0.629,0.364,0.375,0.376,0.337,0.756,0.111,39,1,0.25,0.385,0,0
2012-13,Earl Watson,PG,watsoea01,33,48,829,7.7,0.366,0.233,0.208,3.2,9.1,6.1,31.8,2.5,0.8,34.5,11,-0.6,0.7,0,0.001,-4.1,-0.4,-4.5,-0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/watsoea01.html,48,829,0.308,11.9,0.767,0.292,0.25,0.042,0.183,0.233,0.348,0.514,0.333,0,0.182,0.179,0.438,0,0,0.8,0.179,0.2,1,0
2012-13,Ed Davis,C-PF,davised01,23,81,1631,17.8,0.561,0,0.346,10.9,22.8,16.7,6.7,1.2,4.2,10.2,17.6,2.9,2.4,5.4,0.159,-0.8,1.6,0.8,1.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davised01.html,36,544,0.517,4.6,1,0.566,0.28,0.098,0.056,0,0.517,0.605,0.425,0.357,0.375,0,0.649,0.112,14,0,0,0,0,0
2012-13,Ed Davis,PF,davised01,23,36,544,17.2,0.539,0,0.455,12.1,22.8,17.4,2.4,1.3,7.1,9.5,16.1,0.8,1.2,2.1,0.183,-2.5,2.9,0.4,0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davised01.html,36,544,0.517,4.6,1,0.566,0.28,0.098,0.056,0,0.517,0.605,0.425,0.357,0.375,0,0.649,0.112,14,0,0,0,0,0
2012-13,Eddy Curry,C,curryed01,30,2,25,-0.2,0.461,0,0.5,9.1,8.7,8.9,0,0,0,23.5,23.3,-0.1,0,-0.1,-0.146,-9.6,-6.5,-16.1,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/curryed01.html,2,25,0.5,3.9,1,0.5,0.375,0.125,0,0,0.5,0.75,0.333,0,0,0,0.75,0,0,0,0,0,0,0
2012-13,Ekpe Udoh,C,udohek01,25,76,1312,12,0.503,0.004,0.442,8.9,11.7,10.3,4.7,1.5,4.7,11.8,12.1,1.1,1.5,2.7,0.098,-2.8,2.4,-0.5,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/u/udohek01.html,76,1312,0.435,6.2,0.996,0.424,0.346,0.16,0.067,0.004,0.437,0.579,0.301,0.349,0.444,0,0.615,0.048,13,0,0,0,0,0
2012-13,Elton Brand,C,brandel01,33,72,1527,15.2,0.499,0.002,0.195,9.7,21.5,15.7,7.1,1.7,4.6,9.9,17.2,1.2,2.2,3.4,0.107,-2.1,2.5,0.4,0.9,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brandel01.html,72,1527,0.473,9.6,0.998,0.262,0.205,0.372,0.159,0.002,0.474,0.592,0.49,0.404,0.421,0,0.717,0.01,5,0,0,0,0,0
2012-13,Emeka Okafor,C,okafoem01,30,79,2052,15.8,0.496,0,0.278,10.7,26.8,18.7,7.9,1.1,3,12.2,19.5,0.7,3.7,4.5,0.104,-3.2,2,-1.1,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/okafoem01.html,79,2052,0.477,8,1,0.282,0.354,0.247,0.116,0,0.477,0.691,0.428,0.371,0.338,0,0.68,0.082,54,0,0,0,0,0
2012-13,Enes Kanter,C,kanteen01,20,70,1078,17.6,0.588,0.003,0.309,14.5,18.6,16.5,5,1.4,2.3,19,22.4,1.2,1,2.3,0.101,-0.9,-1.2,-2.1,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kanteen01.html,70,1078,0.544,6.4,0.997,0.485,0.243,0.132,0.137,0.003,0.542,0.652,0.446,0.4,0.462,1,0.537,0.066,24,0,0,0,0,0
2012-13,Eric Bledsoe,PG,bledser01,23,76,1553,17.5,0.513,0.137,0.236,6.1,11.1,8.6,23.5,3.7,3,17.9,22.5,1.1,2.6,3.7,0.115,0,2.7,2.7,1.9,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bledser01.html,76,1553,0.445,10.4,0.863,0.4,0.169,0.092,0.202,0.137,0.453,0.573,0.438,0.346,0.278,0.397,0.333,0.048,21,0.806,0.256,0.5,3,0
2012-13,Eric Gordon,SG,gordoer01,24,42,1264,15.4,0.523,0.296,0.38,0.9,6.4,3.6,19.3,1.9,0.5,14.6,29.4,0.8,0.3,1.1,0.042,0.8,-3.3,-2.6,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoer01.html,42,1264,0.402,13.6,0.704,0.281,0.195,0.051,0.176,0.296,0.436,0.543,0.395,0.3,0.35,0.324,0.33,0.012,6,0.786,0.15,0.308,2,0
2012-13,Eric Maynor,PG-SG,maynoer01,25,64,963,9.3,0.472,0.342,0.221,1.1,4.4,2.8,28.7,1.2,0.1,20.4,18.4,-0.1,0.3,0.2,0.008,-3,-4.4,-7.4,-1.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/maynoer01.html,27,572,0.422,14,0.699,0.133,0.337,0.09,0.139,0.301,0.44,0.682,0.375,0.467,0.348,0.38,0.275,0,0,0.947,0.1,0.4,0,0
2012-13,Ersan Ilyasova,PF,ilyaser01,25,73,2012,18.3,0.552,0.267,0.196,7.9,20.3,13.9,9.6,1.7,1.3,7.9,20.5,4.1,2.5,6.7,0.159,1.7,0.1,1.8,1.9,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/ilyaser01.html,73,2012,0.462,13.7,0.733,0.288,0.102,0.121,0.223,0.267,0.469,0.567,0.329,0.495,0.391,0.444,0.736,0.006,4,0.989,0.079,0.353,1,0
2012-13,Evan Fournier,SG,fournev01,20,38,428,13.8,0.597,0.355,0.257,1.6,7.4,4.6,15.5,2.2,0.2,15.9,20.4,0.7,0.3,1,0.115,1,-2,-0.9,0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/fournev01.html,38,428,0.493,11.8,0.645,0.408,0.151,0.033,0.053,0.355,0.541,0.71,0.217,0.6,0.125,0.407,0.547,0.013,2,0.818,0.204,0.636,0,0
2012-13,Evan Turner,SF,turneev01,24,82,2892,12.1,0.478,0.151,0.198,2.1,18.5,10.1,19.7,1.3,0.5,14,21.2,-0.7,2.9,2.1,0.035,-2.4,0.3,-2.1,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/turneev01.html,82,2892,0.419,13.1,0.849,0.186,0.145,0.262,0.255,0.151,0.428,0.546,0.346,0.428,0.39,0.365,0.371,0.013,14,0.931,0.509,0.383,1,0
2012-13,Fab Melo,C,melofa01,22,6,36,4.9,0.451,0,0.667,0,9.6,4.9,0,2.9,4.4,11.4,11.5,0,0.1,0,0.021,-7.5,1.7,-5.8,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/melofa01.html,6,36,0.5,3,1,0.833,0.167,0,0,0,0.5,0.6,0,0,0,0,1,0.167,1,0,0,0,0,0
2012-13,Festus Ezeli,C,ezelife01,23,78,1120,9.3,0.467,0,0.479,14.3,16.4,15.4,2.7,1,5.2,23.5,10.7,0,1.5,1.5,0.066,-4,2.6,-1.4,0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/ezelife01.html,78,1120,0.438,4.6,1,0.538,0.325,0.095,0.041,0,0.438,0.582,0.327,0.063,0.286,0,0.581,0.272,39,0,0,0,0,0
2012-13,Francisco Garcia,SG-SF,garcifr01,31,58,1029,11,0.519,0.597,0.07,0.9,9.4,5.1,9.2,2.3,2.9,9.4,14.7,0.6,0.6,1.3,0.059,-0.5,0.1,-0.4,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/garcifr01.html,18,319,0.432,21,0.263,0.084,0.032,0.021,0.126,0.737,0.56,0.75,0.333,0,0.583,0.386,0.714,0.021,2,1,0.529,0.378,0,0
2012-13,Garrett Temple,SG,templga01,26,51,1156,8.8,0.478,0.31,0.143,2.8,9.1,5.9,15.5,2.3,1.2,18.2,13.2,-0.3,1.5,1.2,0.049,-2.9,1.7,-1.2,0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/templga01.html,51,1156,0.407,15.5,0.69,0.217,0.066,0.109,0.298,0.31,0.444,0.482,0.471,0.357,0.442,0.325,0.646,0.004,1,0.923,0.438,0.4,0,0
2012-13,Gary Neal,SG,nealga01,28,68,1484,11.5,0.512,0.42,0.124,1.1,9.6,5.6,13.5,1,0.1,9.9,21.7,0.4,1.5,1.9,0.06,-0.8,-1.8,-2.6,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nealga01.html,68,1484,0.412,18.5,0.58,0.052,0.129,0.126,0.273,0.42,0.454,0.484,0.455,0.533,0.411,0.355,0.548,0.002,1,0.798,0.167,0.405,0,0
2012-13,George Hill,PG,hillge01,26,76,2620,16.6,0.558,0.405,0.245,2,9.9,6,23.4,1.6,0.7,10.7,18.8,5.9,3.8,9.7,0.177,2.8,0.3,3.1,3.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hillge01.html,76,2620,0.443,16.2,0.595,0.188,0.126,0.111,0.169,0.405,0.494,0.677,0.455,0.454,0.347,0.368,0.301,0.009,8,0.738,0.218,0.286,4,0
2012-13,Gerald Green,SF,greenge01,27,60,1080,9.9,0.465,0.443,0.153,3.3,11.1,7.3,7.9,0.9,1.6,10.5,21.3,-0.3,1.5,1.3,0.056,-2.6,-0.9,-3.5,-0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greenge01.html,60,1080,0.366,17.8,0.557,0.137,0.075,0.13,0.215,0.443,0.407,0.638,0.375,0.364,0.297,0.314,0.417,0.068,25,0.983,0.218,0.293,1,0
2012-13,Gerald Henderson,SG,hendege02,25,68,2133,16.4,0.531,0.117,0.366,2.9,10.8,6.7,15.6,1.7,1.3,9.8,23.5,2.9,0.3,3.3,0.073,0.5,-2.1,-1.6,0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hendege02.html,68,2133,0.447,12.5,0.883,0.268,0.124,0.175,0.316,0.117,0.462,0.576,0.349,0.413,0.437,0.33,0.501,0.044,32,0.97,0.21,0.238,3,0
2012-13,Gerald Wallace,SF,wallage01,30,69,2076,11.6,0.49,0.356,0.415,3.9,14.3,9.1,13.3,2.5,1.7,16.9,14.5,0.6,2.5,3.1,0.072,-0.7,2.6,1.9,2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wallage01.html,69,2076,0.397,12.1,0.644,0.419,0.12,0.011,0.094,0.356,0.461,0.536,0.4,0,0.256,0.282,0.632,0.068,26,0.957,0.356,0.328,0,0
2012-13,Glen Davis,PF,davisgl01,27,34,1064,15,0.483,0.004,0.245,5.8,20.3,13.1,11.3,1.6,1.5,10.8,25.4,-0.1,0.9,0.8,0.035,-2.8,-0.2,-3,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davisgl01.html,34,1064,0.448,9.4,0.996,0.312,0.234,0.18,0.27,0.004,0.45,0.658,0.402,0.395,0.287,0,0.621,0.019,9,0,0.5,0,0,0
2012-13,Goran Dragic,PG,dragigo01,26,77,2581,17.5,0.54,0.305,0.36,2.6,8,5.2,35.7,2.5,0.8,16.8,21.7,4.1,1.6,5.7,0.106,2.6,-1.2,1.4,2.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dragigo01.html,77,2581,0.443,13.5,0.695,0.292,0.1,0.143,0.159,0.305,0.497,0.664,0.341,0.369,0.403,0.319,0.284,0.007,6,0.625,0.188,0.346,0,0
